name,z,vmag,band,ra_deg,dec_deg,constellation
MS 03180-1937,0.104,14.86,V,50.0883,-19.4419,Eri
MS 03215-6657,0.094,15.8,V,50.5587,-66.7850,Ret
HE 0329-2931,0.548,14.9,O,52.8117,-29.3528,For
IGR J03334+3718,0.055,13.5,V,53.3279,+37.3031,Per
IRAS 03335-5625,0.078,14.9,V,53.6992,-56.2536,Ret
NGC 1387,0.056,11.93,V,54.2379,-35.5067,For
RXS J03383-4510,0.119,14.97,V,54.5967,-45.1800,Hor
EUVE J0349-537,0.13,15.7,V,57.3687,-53.7464,Ret
CTS H27.03,1.541,15.7,O,57.7471,-52.6764,Hor
HE 0353-3919,1.001,15.6,O,58.7912,-39.1742,Eri
RXS J03552-5451,0.269,15.7,O,58.8054,-54.8658,Ret
RXS J03559-6104,0.227,15.8,O,58.9992,-61.0750,Ret
IRAS 03575-6132,0.047,14.2,V,59.5779,-61.4019,Ret
NPM1G-16.0168,0.031,10.16,R,60.2779,-16.1108,Eri
RXS J04014-0801,0.147,14.59,V,60.3596,-8.0333,Eri
HE 0406-5341,0.545,15.9,O,61.8162,-53.5519,Dor
PKS 0405-12,0.574,14.86,V,61.9521,-12.1933,Eri
RXS J04127-4712,0.132,15.9,V,63.1729,-47.2131,Hor
1WGA J0413.4+2343,0.309,15.6,V,63.3437,+23.7261,Tau
3C 110,0.773,15.94,V,64.3196,-5.8958,Eri
LB 1727,0.104,13.2,O,66.5033,-57.2003,Dor
RXS J04285-1734,0.205,15.6,O,67.1292,-17.5756,Eri
HE 0436-2614,0.69,15.1,O,69.5425,-26.1436,Eri
HE 0441-2826,0.155,14.4,O,70.8362,-28.3478,Eri
NPM1G-22.0111,0.076,14.94,V,71.0167,-22.4128,Eri
IRAS 04451-2702,0.114,15.7,O,71.7900,-26.9600,Eri
RXS J04479-0322,0.774,15.94,V,71.9783,-3.3786,Ori
IRAS 04505-2958,0.286,13.6,O,73.1254,-29.8931,Cae
SNU J04549+6949,0.14,15.2,R,73.7446,+69.8292,Cam
RXS J04588-1906,0.062,14.52,V,74.7108,-19.1011,Lep
HE 0502-2948,0.552,14.2,O,76.0792,-29.7442,Cae
4C 01.13,0.084,14.8,R,78.4683,+1.9528,Ori
HE 0515-4414,1.713,14.9,O,79.2817,-44.1822,Pic
RXS J05345-6016,0.057,14.46,V,83.6292,-60.2708,Pic
RXS J05363-5144,0.113,14.69,V,84.0887,-51.7356,Pic
RXS J05373-4443,0.099,14.19,V,84.3279,-44.7181,Pic
NVSS J05449-2651,0.134,15.7,R,86.2329,-26.8631,Lep
CTS H34.02,1.59,15.1,O,88.0017,-53.2122,Pic
PKS 0552-640,0.68,15.04,V,88.1025,-64.0364,Dor
SNU J05547+6620,0.186,14.5,R,88.6967,+66.3453,Cam
IRAS 05558-5008,0.355,15.9,O,89.2675,-50.1394,Pic
CTS H34.03,0.097,15.8,V,89.3108,-53.9539,Pic
PKS 0558-504,0.137,14.97,V,89.9475,-50.4475,Pic
IRAS 06115-3240,0.05,14.1,V,93.3367,-32.6983,CMa
IRAS L06229-6434,0.129,14.8,V,95.7821,-64.6053,Dor
SNU J06239+0018,0.094,14.8,R,95.9800,+0.3119,Mon
HS 0624+6907,0.37,14.16,V,97.5108,+69.0842,Cam
PKS 0637-75,0.651,15.75,V,98.9437,-75.2714,Men
SNU J06368-0810,0.233,15.7,R,99.2187,-8.1800,Mon
SNU J06441+3546,0.077,14.3,R,101.0454,+35.7789,Aur
SNU J06489+3522,0.119,15.8,R,102.2350,+35.3683,Aur
NPM1G+41.0135,0.022,9.37,R,103.7917,+41.0028,Aur
MS 07007+6338,0.152,14.51,V,106.3725,+63.5592,Cam
VII Zw 118,0.079,14.61,V,106.8046,+64.5997,Cam
SNU J07102+1315,0.141,15.8,R,107.5604,+13.2597,Gem
SNU J07122+1539,0.166,15.3,R,108.0650,+15.6583,Gem
B2 0709+37,0.487,15.49,V,108.2892,+36.9353,Aur
KUV 07232+3706,0.19,15.8,V,111.6475,+37.0006,Aur
HS 0727+6205,0.325,15.54,V,113.0779,+61.9850,Cam
B2 0742+31,0.462,15.97,V,116.4233,+31.7156,Gem
SDSS J07464+2449,2.979,15.46,V,116.6075,+24.8169,Gem
RXS J07466+6540,0.262,15.8,V,116.6237,+65.6694,Cam
2MASS J07491+5552,0.124,14.7,R,117.3021,+55.8758,Lyn
