name,hd,tyc,tic,vartype,maxmag,minmag,names,ra_deg,dec_deg,constellation
V1419 Aql,,,,NA,7.6,22.0,,288.2783,+1.5731,Aql
V1378 Aql,,,175565877,N,10.0,21.0,,289.1473,+3.7220,Aql
V356 Aql,,,,NB,7.7,18.3,618.1936,289.3071,+1.7227,Aql
V1301 Aql,,,,NA,10.3,21.0,,289.4800,+4.7884,Aql
V528 Aql,,,,NA,7.0,19.2,,289.8297,+0.6312,Aql
V606 Aql,181419,,,NA,6.7,17.3,BD -0 3708a,290.1012,-0.1353,Aql
V1494 Aql,,,,N,4.0,16.0,,290.7722,+4.9553,Aql
V1370 Aql,,,182958130,N,6.0,19.5,,290.8379,+2.4906,Aql
V1229 Aql,,,183271290,NA,6.7,19.4,,291.1855,+4.2465,Aql
PW Vul,,,,NA,6.4,17.9,,291.5210,+27.3658,Vul
V368 Aql,,,374963778,NA,5.0,15.4,668.1936,291.6435,+7.6037,Aql
NQ Vul,,,369930905,NA,6.0,18.3,,292.3113,+20.4665,Vul
DO Aql,,,100562828,NB,8.7,16.5,9.1925,292.8578,-6.4272,Aql
WY Sge,,,,N,5.4,20.7,,293.1828,+17.7485,Sge
OS And,,,,N,6.3,18.4,,348.0248,+47.4721,And
EY Aql,,,,NA:,10.5,20.0,SVS 202,293.6855,+15.0310,Aql
HS Sge,,,,NA,7.0,20.7,,294.8417,+18.1316,Sge
LU Vul,,,,NA,9.5,21.0,,296.3970,+28.5914,Vul
CK Vul,,,452248097,NB,2.6,20.7,BD +26 3670a,296.9083,+27.3133,Vul
V3885 Sgr,,7941-694-1,79880315,UX,9.6,10.3,CD -42 14462,296.9189,-42.0073,Sgr
LV Vul,,,435473298,NA,5.2,16.6,,297.0022,+27.1720,Vul
V500 Aql,,,,NA,6.6,17.8,S 3542,298.1168,+8.4797,Aql
V465 Cyg,,,,NB,8.0,20.2,VV 67,298.1573,+36.5647,Cyg
EY Cyg,,,86813476,UGSS,11.4,15.5,200.1928,298.6531,+32.3653,Cyg
V1819 Cyg,,,,NB,8.7,19.6,,298.6565,+35.7044,Cyg
UU Aql,,,10636592,UG,11.0,17.0,HV 1319,299.3282,-9.3225,Aql
V476 Cyg,,,1882220505,NA,2.0,17.2,26.1920,299.6023,+53.6185,Cyg
V2274 Cyg,,,,NA,11.7,19.5,N Cyg 2001 No.1,301.8247,+36.0770,Cyg
WZ Sge,,,86408822,UGWZ/DQ,7.0,15.5,HV 3518,301.9017,+17.7043,Sge
V2361 Cyg,,,,N,8.9,,Nova Cygni 2005,302.3295,+39.8145,Cyg
V Sge,,1643-1764-1,288838566,NLV,10.5,14.5,He 3-1879,305.0612,+21.1029,Sge
Del,,,,NL?,10.5,11.5,NSV 13022,305.1542,+20.1833,Del
QU Vul,,,,NA,5.6,17.5,,306.6918,+27.8453,Vul
V1974 Cyg,,,278447515,NA,4.2,16.1,,307.6320,+52.6308,Cyg
