name,hd,tyc,tic,magmax,period,sptype,ra_deg,dec_deg,constellation
WX Psc,,,384885674,0.9,660.0,M8,16.6082,+12.5980,Psc
R PsA,211493,,441190040,8.3,297.6,M3(II)e-M5IIe,334.5010,-29.6038,PsA
S PsA,209400,6960-1450-1,270301812,8.0,271.7,M3e-M5IIe,330.9410,-28.0512,PsA
RY PsA,,7493-1549-1,197593258,8.8,224.39,Me,326.8702,-36.1966,PsA
ST PsA,,,206667547,9.5,179.0,Me,343.5780,-34.3906,PsA
U Pup,65940,5420-2630-1,332078422,8.5,318.44,M5e-M8e,120.2104,-12.8414,Pup
W Pup,63218,7653-2058-1,,7.15,119.7,M1e-M6e,116.4890,-42.1956,Pup
Z Pup,60218,5991-1178-1,456798073,7.2,508.6,M4e-M9e,113.1586,-20.6581,Pup
RV Pup,48675,7635-1980-1,157042258,9.3,187.96,M1e-M9,100.6184,-42.3713,Pup
RW Pup,,,219196709,8.8,340.88,M3e-M6e,92.2917,-50.2077,Pup
SU Pup,,7658-4647-1,143912816,9.3,339.8,"M(S4,2)e",119.0503,-44.1426,Pup
SV Pup,,5438-2152-1,307461509,9.0,166.52,M5e,124.3194,-13.8085,Pup
TU Pup,,7130-1226-1,146775893,9.3,238.95,M8,124.2712,-34.5901,Pup
AS Pup,,7659-1145-1,134524880,9.0,324.65,M7e-M9,122.4159,-38.1746,Pup
CH Pup,,7100-2243-1,148229351,7.9,505.5,Me,101.3087,-36.5370,Pup
QX Pup,,,,8.31,,,115.5702,-14.7144,Pup
V0681 Pup,,,,5.8,519.0,C,119.8511,-41.0544,Pup
V0682 Pup,,,,4.46,541.0,,120.1062,-19.7031,Pup
V0684 Pup,,,,7.07,431.0,C,120.7795,-26.5753,Pup
V0686 Pup,,,,4.33,555.0,C,121.7760,-28.7945,Pup
V0688 Pup,,,,8.06,832.0,C,122.3344,-36.4074,Pup
V0704 Pup,,,,4.68,470.0,C,126.2898,-41.3340,Pup
S Pyx,78000,,37869989,8.0,206.1,M3e-M5e,136.2692,-25.0888,Pyx
WY Pyx,,7148-3970-1,180574987,9.0,,,129.2041,-36.4601,Pyx
WZ Pyx,,,2092253,9.35,,,133.4735,-24.7931,Pyx
CQ Pyx,,,38501454,4.71,,,138.4748,-24.8570,Pyx
DO Pyx,,,11748248,4.84,590.0,C,129.0117,-34.1261,Pyx
R Ret,29383,8872-420-1,38828619,6.5,278.46,M4e-M7.5e,68.3868,-63.0292,Ret
W Sge,181332,1603-1607-1,300130763,8.8,278.26,M4e-M6.5,289.8848,+17.2053,Sge
HX Sge,,,384615840,9.1,355.0,M8,286.8176,+18.2970,Sge
HY Sge,,,384613304,9.2,295.0,M5,286.8616,+17.9416,Sge
IN Sge,,,9079843,9.7,340.0,M6,287.2762,+18.6331,Sge
