cgcs,hd,tyc,tic,vmag,bmag,sptype,ra_deg,dec_deg,constellation
2086,,7133-4076-1,134330106,8.5,12.5,N(Ste),122.2962,-36.2889,Pup
2077,,203-1683-1,452980210,9.5,9.2,Np(VyssBalz58),122.4679,+5.0572,CMi
2104,,6008-2034-1,437085151,8.2,12.5,N(Sndlk),122.9213,-21.2103,Pup
2134,,5438-1969-1,307393768,9.3,12.0,N(Ste),124.1883,-14.4539,Pup
2141,,7126-3855-1,146965678,9.6,,N:(Ste),124.4525,-33.6011,Pup
2148,,6560-2077-1,156315759,9.6,13.3,N(Ste),124.6562,-25.9053,Pup
2143,,5997-635-1,307629426,9.7,,N(Ste),124.6700,-15.0908,Pup
2153,70138,6001-551-1,143368007,9.3,,R5(HD),124.9296,-18.2647,Pup
2150,70072,200-1971-1,455201959,8.3,12.2,Ne(San),125.0250,+2.7644,Hya
2156,,204-1262-1,455204108,9.9,,"R5(San);C5,5(De)",125.1725,+5.1894,Hya
2165,,2474-66-1,172823929,9.2,10.9,Ne(San),125.6787,+33.5194,Lyn
2177,,5997-899-1,296594494,8.9,,"N(San);C5,4(Yam)",125.6842,-15.9164,Pup
2197,,,271930399,9.0,,,126.2525,-25.3628,Pup
2201,,7143-499-1,55792006,9.5,10.8,R(Ste),126.3404,-34.2722,Pup
2208,,6002-616-1,409875163,9.7,13.1,N3(MayCann40),126.6592,-17.2381,Pup
2219,,6577-244-1,258228623,8.5,12.4,N3(MayCann40),127.0562,-27.2578,Pyx
2228,,,231525416,9.0,14.3,R(Sto),127.5417,-27.7033,Pyx
2247,,6582-2092-1,283397473,9.8,13.0,R(Sto),128.3433,-29.9422,Pyx
2272,,8568-154-1,92828094,8.2,12.0,N(MayCann40),129.1508,-52.5778,Vel
2308,,7144-1869-1,185622504,9.9,14.2,N(Ste),130.3550,-34.9333,Pyx
2317,,6575-3240-1,1088127,9.0,,,130.9750,-25.6028,Pyx
2326,,6583-397-2,1208705,9.0,13.0,R(Sto),131.3779,-28.2008,Pyx
2282,,4381-373-1,312988542,9.5,,R0(Van),131.5487,+74.5419,Cam
2331,75021,6583-1705-1,1344656,7.6,9.5,R7(Sh),131.6513,-29.7281,Pyx
2334,,7145-295-1,186146925,9.9,12.7,N(Ste),131.7508,-34.3164,Pyx
2378,76221,1394-1851-1,46382605,6.1,9.3,N3(Sh),133.8454,+17.2314,Cnc
2384,,1397-648-1,197247034,7.6,,"N(Ste);C5,5(Yam)",134.1671,+19.8492,Cnc
2383,76396,3423-1622-1,456332026,8.8,,R4(San),134.4954,+51.4303,UMa
2400,,,37376442,9.0,13.2,R(Sto),134.7142,-29.3756,Pyx
2396,76846,2488-603-1,166555111,9.4,,R1(San),134.9537,+33.7742,Lyn
2404,77234,3430-1561-1,456341357,9.5,,R5(Sh),135.8137,+50.0942,UMa
2432,,,384478390,9.6,13.3,R(Sto),136.5679,-58.5967,Car
2434,,8591-1669-1,384646125,9.5,14.3,N(Ste),136.6987,-56.5722,Vel
2440,,,74200684,9.6,13.0,,137.2950,-45.2958,Vel
2450,,6587-1109-1,229859322,9.0,,Ne(San),138.3829,-23.3922,Hya
2449,79319,825-631-1,35260243,8.9,,R4(Sh),138.4587,+14.2108,Cnc
2454,,6591-315-1,38570471,9.7,,N(Ste),138.6079,-24.5325,Pyx
2463,80255,8952-1187-1,303540984,9.0,10.9,N3(CannMay49),138.8204,-66.2361,Car
2458,,3431-229-1,251085579,8.6,,N5(Balz56),139.6017,+51.4022,UMa
2485,,8170-870-1,76265454,8.9,13.4,N(Sndlk),140.2267,-47.0272,Vel
2524,,8179-1269-1,297337641,8.5,,,142.2092,-50.9014,Vel
2546,,8945-2545-1,360646147,9.6,,,142.8129,-63.3917,Car
2550,,7700-647-1,5618001,9.9,12.8,N(Sndlk),143.2713,-41.3089,Vel
2603,,8168-1070-1,33886364,8.2,12.1,N(Sndlk),145.9000,-46.7489,Vel
2635,85319,4896-525-1,78152264,9.7,11.0,N(San),147.7429,-2.0286,Sex
2641,85405,6603-800-1,415648339,6.5,8.3,N3(Sh),147.7654,-23.0172,Hya
2626,85066,3814-1198-1,453444580,9.7,,R3(San),147.7725,+52.6239,UMa
2656,,8598-579-1,132197852,9.5,12.0,,148.3583,-52.5094,Vel
2662,,8189-2564-1,132656044,8.5,10.9,R(Sndlk),148.8454,-49.8792,Vel
2661,86111,7702-1098-1,45602275,6.5,10.0,N(San),148.8587,-41.5869,Vel
2682,,,461933347,9.2,12.5,,149.8225,-54.0175,Vel
2685,86936,8942-2668-1,374062307,7.5,10.0,N3(CannMay49),149.9650,-60.2181,Car
2713,88539,7178-237-1,71032449,6.8,10.0,N(San),152.9742,-35.3247,Ant
2716,,8191-1708-1,310944292,8.2,13.2,N:(Sndlk),153.0175,-49.7483,Vel
2723,,,71156823,9.0,,,153.7079,-32.9067,Ant
2738,,8191-2164-1,272443295,8.0,13.4,N(Ste),154.3658,-50.0972,Vel
2759,90395,8192-3843-1,446765212,9.3,9.9,R0(HD),156.2487,-50.4078,Vel
2792,,8961-1219-1,460660941,8.2,12.8,N(Thack49),158.5742,-62.7103,Car
2787,91708,8201-241-1,448414970,9.4,10.3,"R0(HD);C1,3(War)",158.6221,-48.3947,Vel
2793,91793,7714-1297-1,106309740,6.0,8.8,"N(San);C5,3(Yam)",158.8037,-39.5625,Ant
2806,,8201-2069-1,294255563,9.0,13.7,R(Sto),159.3546,-47.8033,Vel
2803,92055,5498-264-1,386610785,4.5,7.9,N2(Sh),159.3887,-13.3844,Hya
2829,92626,8201-1209-1,303578928,7.2,,Rp(Bidun),160.2175,-48.0222,Vel
2834,92806,8210-2263-1,410959287,9.2,,,160.4783,-50.7514,Vel
2835,92839,4151-1451-1,310965017,6.0,8.6,N0(Sh),161.2667,+67.4114,UMa
2852,93506,8965-623-1,391340872,8.0,9.7,N(Ste),161.5125,-65.6147,Car
2853,,,147134199,9.0,,,161.7996,-43.9039,Vel
2868,,8618-1427-1,459267423,9.0,12.4,,162.3196,-55.4247,Vel
2877,,6082-1140-1,167837191,9.3,10.9,"N(San);C6,5(Yam)",162.9054,-21.2500,Hya
2885,94406,8614-461-1,120369217,9.2,11.8,N3(CannMay49),163.2146,-53.4242,Vel
2925,95405,6639-164-1,382376437,9.0,,K5R(San),165.1346,-25.8533,Hya
2959,96650,8620-1461-1,306743418,8.5,11.8,N3(CannMay49),166.8246,-55.1219,Cen
2967,,9422-908-1,395009792,8.8,,N(May51),166.8333,-81.7933,Cha
2975,97578,8204-1746-1,81857112,9.0,11.2,R5(HD),168.3012,-48.2250,Cen
2984,98014,8624-485-1,450548512,9.3,10.8,N3(CannMay49),168.9100,-57.9275,Car
2986,310477,9229-2210-1,294389599,9.6,11.8,G5:(R-R3)(LE83,168.9675,-69.9122,Car
3058,,271-245-1,380542758,9.9,,R2(San),173.4546,+1.7522,Leo
3062,,9237-2206-1,454637544,9.0,,,173.4633,-73.2075,Mus
3066,100764,5516-872-1,296974016,8.7,,R2(San),173.9283,-14.5936,Crt
3083,101414,9234-345-1,454710006,9.5,11.3,Na(HD),174.8533,-72.5547,Mus
3106,,8639-3288-1,268475260,9.7,14.6,N:(Ste),176.9304,-57.8522,Cen
3135,,8639-3355-1,376208064,9.5,,R-N(Ste),179.3533,-57.0317,Cru
3141,104214,8643-1472-1,398632487,9.2,10.7,R8-N(Ste),179.9950,-58.6008,Cru
3144,104274,8636-440-1,398548694,9.1,11.7,Nb(HD),180.0967,-55.1203,Cen
3189,,8982-4639-1,381938448,9.7,,N(Ste),182.8950,-63.7619,Cru
3199,106414,8242-1963-1,334683390,8.0,9.3,Nb(HD),183.6650,-51.5331,Cen
3222,107699,9412-1880-1,359895060,8.0,12.4,Nb(HD),185.8262,-75.5011,Mus
3227,107957,8239-515-1,255776006,7.0,9.2,"C4,5(War)",186.1412,-49.4403,Cen
3236,108105,282-753-1,377248190,6.0,,Ne(San),186.3100,+0.7700,Vir
3246,108683,7757-1488-1,,9.3,11.9,"N(San);C4,3(Yam)",187.3375,-38.2639,Cen
3266,,8232-1427-1,73181203,8.0,13.0,R(Sto),189.8771,-45.3828,Cen
3268,,8655-3805-1,412077001,9.8,,Ce(Hen),190.0633,-57.3806,Cru
3283,110914,3459-2147-1,159163636,4.8,8.2,N3(Sh),191.2825,+45.4403,CVn
3286,111166,293-629-1,380674933,9.0,,R3e(San),191.8267,+4.1450,Vir
3284,,8659-1394-1,,8.6,,N(Thack49),191.8529,-59.6922,Cru
3298,111908,297-383-1,390688940,9.4,11.1,R0(Van),193.1225,+7.2078,Vir
3313,112559,4168-885-1,459217194,6.1,9.4,N4(Sh),194.1079,+65.9944,Dra
3310,112319,8656-935-1,412814878,8.2,10.4,Np(HD),194.1483,-57.8992,Cru
3319,112869,3021-2200-1,17748929,9.2,10.0,R6p(Sh),194.8446,+37.8178,CVn
3335,113801,6118-1194-1,428718332,8.5,,R0(Van),196.6104,-20.0519,Vir
3368,115673,9254-1512-1,394445529,7.0,9.4,Np(HD),200.3075,-74.4419,Mus
3374,115977,8998-3018-1,449568639,7.5,10.1,Nb(HD),200.5412,-64.2189,Cen
3379,,303-233-1,393713984,9.7,11.1,R0(VyssBalz58),200.8154,+3.7297,Vir
3381,,9002-1882-1,340439521,9.6,,CE(Wray),201.3304,-66.4244,Mus
3396,,8666-1959-1,289492133,9.6,,N:(Ste),202.3975,-55.2053,Cen
3397,,,341164278,9.5,13.5,N(Ste),202.6333,-68.8672,Mus
3405,117619,8662-1344-1,260996171,8.9,9.3,"R5(HD);C4,5(War)",203.1737,-53.8311,Cen
3412,118322,8671-1707-1,90144286,7.0,9.0,Nb(HD),204.4004,-56.4764,Cen
3425,,9247-232-1,343307581,9.3,13.0,N(Sto),206.2029,-70.6042,Mus
6548,121447,6140-641-1,219957501,7.8,,"C2,1(Yam)",208.9342,-18.2444,Vir
3456,121658,8672-2548-1,209014246,7.8,9.8,Na(HD),209.5704,-56.3525,Cen
3469,122547,2548-690-1,232527237,9.4,,R2(Van),210.4812,+32.8258,CVn
