hip,hd,ra_deg,dec_deg,vmag,sptype
71795,129246,220.28716819,13.72833113,3.7799999713897705,A3IVn
102618,198001,311.91888574,-9.49568988,3.7799999713897705,A1V
76952,140436,235.68599269,26.29551419,3.809999942779541,A1Vs
9487,12446,30.51166929,2.76376048,3.819999933242798,A2
45688,80081,139.71111394,36.80289763,3.819999933242798,A1V
80883,148857,247.72850509,1.98410056,3.819999933242798,A2V
51986,92139,159.32606984,-48.22561631,3.8399999141693115,A3m+...
27321,39060,86.82118054,-51.06671329,3.8499999046325684,A3V
50191,88955,153.68447399,-42.12206281,3.8499999046325684,A2V
61622,109787,189.42636588,-48.54128816,3.8499999046325684,A2V
110395,212061,335.41374983,-1.38735315,3.859999895095825,A0V
43023,75063,131.50689464,-46.0415392,3.869999885559082,A1III
8832,11502,28.38235506,19.29409264,3.880000114440918,A1p Si
60129,107259,184.97663096,-0.66674709,3.890000104904175,A2IV
18907,25490,60.78907003,5.98930909,3.9100000858306885,A1V
41307,71155,126.41529546,-3.90636482,3.9100000858306885,A0V
83207,153808,255.07252582,30.92633926,3.9200000762939453,A0V
37677,62623,115.95196716,-28.9548352,3.940000057220459,A2Iab
103413,199629,314.29338184,41.16719384,3.940000057220459,A1Vn
9598,12216,30.85912643,72.42123962,3.950000047683716,A2V
98495,188228,300.14747226,-72.91018443,3.9700000286102295,A0V
10670,14055,34.32848216,33.84732099,4.03000020980835,A1Vnn
70090,125473,215.13949709,-37.88526711,4.050000190734863,A0IV
74824,135379,229.3790009,-58.80087882,4.070000171661377,A3V
11001,15008,35.43759585,-68.6594239,4.079999923706055,A3V
104139,200761,316.48658082,-17.23271095,4.079999923706055,A1V
94114,178253,287.36782635,-37.90423953,4.110000133514404,A0/A1V
42313,73262,129.41419739,5.70379868,4.139999866485596,A1Vnn
34769,55185,107.96608486,-0.49278056,4.150000095367432,A2V
85340,157792,261.59257241,-24.17502346,4.159999847412109,A3IV:m
69732,125162,214.09656821,46.08791894,4.179999828338623,A0sh
89908,170000,275.18933831,71.33772734,4.21999979019165,A0p (Si)
68520,122408,210.41159648,1.54458338,4.230000019073486,A3V
86565,160613,265.35381884,-12.87517268,4.239999771118164,A2Va
19167,25642,61.64606374,50.35135022,4.25,A0IVn
107418,207260,326.36220534,61.12081043,4.25,A2Iavar
99655,192696,303.34917142,56.56752223,4.28000020980835,A3IV-Vn
77055,142105,236.01443312,77.79449901,4.289999961853027,A3Vn
111188,213398,337.87620651,-32.34602798,4.289999961853027,A1V
20648,27962,66.37215593,17.92798917,4.300000190734863,A2IV
53417,94601,163.90353339,24.74975451,4.300000190734863,A1
84880,156928,260.2068148,-12.846882,4.320000171661377,A0/A1V
22509,30739,72.65300943,8.90025258,4.349999904632568,A1Vn
43234,75137,132.10825351,5.83788486,4.349999904632568,A0Vn
85822,166205,263.05373826,86.58632924,4.349999904632568,A1Vn
3405,4150,10.83851683,-57.46309763,4.360000133514404,A0IV
53773,95370,165.03852431,-42.22586959,4.369999885559082,A3IV
64238,114330,197.48755015,-5.53892987,4.380000114440918,A1V
53954,95608,165.58242155,20.17974575,4.420000076293945,A1m
88290,164577,270.43828967,1.30510936,4.420000076293945,A2Vn
23040,31278,74.32175175,53.75208289,4.429999828338623,A1V
30060,43378,94.90579498,59.01090518,4.440000057220459,A2Vs
54682,97277,167.91452617,-22.82560642,4.460000038146973,A1V
112948,216336,343.13149128,-32.87545019,4.460000038146973,A0III
31216,46300,98.22595658,7.33297921,4.46999979019165,A0Ib
47006,82621,143.70622878,52.05156754,4.46999979019165,A2V
49641,87887,151.98456489,-0.37162786,4.480000019073486,A0III
9480,12111,30.48979079,70.90704605,4.489999771118164,A3IV
109285,210049,332.0956383,-32.98839827,4.5,A2V
1473,1404,4.58210555,36.7853273,4.510000228881836,A2V
76852,140159,235.38788463,19.67050566,4.510000228881836,A1V
69974,125337,214.77750771,-13.37116634,4.519999980926514,A1V
2487,2885,7.88898014,-62.96544985,4.53000020980835,A2V
31416,46933,98.76408302,-22.96483318,4.539999961853027,A0III
46776,82446,142.99556148,-1.18465438,4.539999961853027,A3V
16281,21389,52.47810837,58.87875244,4.550000190734863,A0Ia SB:
48402,85235,148.02650069,54.06428574,4.550000190734863,A3IV
27830,39357,88.33184814,27.61228536,4.559999942779541,A0V
86092,159217,263.91504719,-46.50559076,4.559999942779541,A0V
17959,23401,57.58948256,71.33236777,4.590000152587891,A2IVn
117452,223352,357.23116631,-28.1300148,4.590000152587891,A0V
20070,26961,64.56073112,50.29563944,4.599999904632568,A2V
75501,137058,231.33438516,-38.7335881,4.599999904632568,A0V
95081,182564,290.16696656,65.7144303,4.599999904632568,A2IIIs
1366,1280,4.27306518,38.68167915,4.610000133514404,A2V
36145,58142,111.67858726,49.21164489,4.610000133514404,A1V
39095,65810,119.96689649,-18.39914242,4.610000133514404,A1V
80628,148367,246.95094563,-8.37170055,4.619999885559082,A3m
13914,18519,44.80305773,21.34044477,4.630000114440918,A2Vs
22845,31295,73.7237672,10.15114511,4.639999866485596,A0V
84606,156729,259.41785775,37.29134328,4.639999866485596,A2V
101589,196180,308.82711738,14.67418482,4.639999866485596,A3V
23607,32549,76.1422432,15.40418059,4.650000095367432,A0p Si
42806,74198,130.82172127,21.46859609,4.659999847412109,A1IV
53295,94334,163.49460834,43.19001538,4.659999847412109,A1Vs
28910,41695,91.53889172,-14.93528629,4.670000076293945,A0V
90595,170296,277.29938301,-14.56580499,4.670000076293945,A1IV/V
13879,18411,44.69021034,39.66282739,4.679999828338623,A2Vn
116389,221760,353.76887742,-42.61510105,4.690000057220459,A2V
24927,34968,80.11213225,-21.23973932,4.699999809265137,A0V
116247,221565,353.31927128,-20.91452506,4.699999809265137,A0V
105140,202627,319.48436063,-32.17248551,4.710000038146973,A0V
114375,218640,347.47865379,-22.45759248,4.710000038146973,A3IV:
51438,91375,157.58364619,-71.99271995,4.71999979019165,A2III
103045,198743,313.16335749,-8.98323782,4.730000019073486,A3m
6193,7964,19.86657455,27.26408682,4.739999771118164,A3V
12413,16754,39.94966387,-42.89163328,4.739999771118164,A2V
93542,176638,285.77846922,-42.09499443,4.739999771118164,A0Vn
116602,222095,354.46223051,-45.49232134,4.739999771118164,A2V
2472,2834,7.85356695,-48.80356171,4.760000228881836,A0V
29997,42818,94.71158258,69.3200343,4.760000228881836,A0Vn
55266,98353,169.78309755,38.18572227,4.760000228881836,A2V
17587,23089,56.50971937,63.34506772,4.78000020980835,A3V...
39847,67006,122.11459795,51.50667575,4.78000020980835,A2V
85755,158643,262.85396193,-23.96258036,4.78000020980835,A0V
61394,109485,188.71299083,22.62918961,4.800000190734863,A0IV
79881,146624,244.57467023,-28.61377598,4.800000190734863,A0V:
105382,203006,320.18993153,-40.80950852,4.800000190734863,A2p
112051,214994,340.43920724,29.3076892,4.800000190734863,A1IV
90289,169420,276.33764809,-20.54160918,4.809999942779541,A1/A2V
101867,196724,309.63038481,21.20117964,4.809999942779541,A0V
78554,143894,240.57370453,22.80439543,4.820000171661377,A3V
82321,152107,252.3091638,45.9834478,4.820000171661377,A2p...
111123,213320,337.66172918,-10.67788619,4.820000171661377,A0IVs
12876,17566,41.38555249,-67.616724,4.829999923706055,A2IV/V
63724,113314,195.88894965,-49.52723627,4.829999923706055,A0V
14862,19275,47.98432711,74.39386878,4.849999904632568,A2Vnn
93148,175510,284.61564682,-52.93860748,4.849999904632568,A0V
32438,48250,101.55896951,59.44169108,4.860000133514404,A3V
70327,126128,215.84475026,8.44664037,4.860000133514404,A0V
15110,20150,48.72547816,21.04462873,4.869999885559082,A1V
43825,76483,133.8813149,-27.68162589,4.869999885559082,A3IV
11345,15130,36.48755111,-12.290452,4.880000114440918,A0V
61960,110411,190.47086482,10.23584294,4.880000114440918,A0V
