bd,mwc,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
CD-46 3951,MWC   193,69404,8136-5050-1,81859368,6.43,B2 V ne,123.7130,-46.4854,Vel
CD-36 4390,MWC   855,69425,7134-1270-1,182609113,9.07,B1 V ne,123.8765,-37.1173,Pup
CP-47 2023,HEN   143,69651,8153-386-1,286159211,10.7,"B9 V,n",123.9314,-48.3438,Vel
CP-45 2348,HEN   145,70064,8149-346-1,82370215,10.0,"B5 V,e",124.5114,-45.6417,Vel
CD-25 5940,HEN   150,70461,6564-3885-1,271379300,9.8,Be*,125.3052,-26.3326,Pup
CP-45 2460,HEN   156,71042,8149-3411-1,52929072,9.8,"B2/B3 ,ne",125.8447,-45.7528,Vel
BD-12 2510,MWC   857,71072,5435-526-1,409791884,6.9,"B7 IV,e",126.2511,-12.7640,Pup
CP-44 2597,HEN   162,,8149-3059-1,53301259,9.23,B2 IV e,126.3238,-45.1624,Vel
CD-51 3004,,71510,8161-1767-1,140031673,5.2,B2 V,126.3799,-51.7278,Vel
CP-47 2254,HEN   166,71823,8154-5745-1,139870215,8.79,"B3 V,n",126.8673,-47.7288,Vel
CP-49 1653,HEN   168,71934,8158-1896-1,140300162,7.54,B2 IV ne,126.9600,-50.0997,Vel
CD-42 4290,,72014,7669-3714-1,140001327,6.26,B0 V: nne,127.2168,-42.5870,Vel
CD-43 4337,HEN   170,72067,7673-2017-1,140006471,5.79,B2 V,127.2813,-44.1601,Vel
CP-43 2643,HEN   171,72126,7673-1514-1,140132301,9.28,"B2 ,nne",127.3359,-43.8422,Vel
BD-10 2546,,72043,5432-609-1,51033628,8.9,Be*,127.5848,-10.6159,Hya
CD-35 4745,,72551,7147-1931-1,184795255,9.35,Be*,128.0607,-36.1049,Pyx
CD-49 3621,MWC   194,72754,8158-2073-1,90296023,6.89,Be*,128.0969,-49.6013,Vel
